ts,event,option_kind,reason_code,reason_text,station_code,station_label,zim_locker,origin_label,origin_spot,dest_label,dest_spot,segment,store,zone,preference,channel,size,qty,weight_kg,hour,day_type,fallback_level,foreign
2026-07-31T11:00,REJECTED,짐캐리 배송,DLV_SEGMENT_NOT_OFFERED,구간 불가: 짐캐리 배송 상품이 없는 구간,,,,1호선 토성,역·관광지,남포,역·관광지,역·관광지→역·관광지,,원도심(동구·중구),배송,온라인,특대형,1,25,11,주중,0,False
2026-07-31T11:00,FALLBACK,동반이동,,,109,1호선 토성,,1호선 토성,역·관광지,남포,역·관광지,역·관광지→역·관광지,,원도심(동구·중구),배송,온라인,특대형,1,25,11,주중,2,False
2026-07-31T10:00,RESOLVED,짐캐리 배송,,,,,,남포동 호스텔,숙소,해운대 호텔,숙소,숙소→숙소,,해운대·기장,배송,온라인,중형,2,26,10,주중,0,False
2026-07-31T10:00,RESOLVED,짐캐리 무인보관함,,,,,롯데면세점 부산점,서면 게스트하우스,숙소,,,,,서면·부산진구,보관,온라인,기내용,1,7,10,주중,0,False
2026-07-31T12:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,씨클라우드호텔,BEXCO,매장,광안리 호텔,숙소,매장→숙소,BEXCO,광안리,무관,매장방문,특대형,1,30,12,주중,0,True
2026-07-31T12:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,KT&G 상상마당 부산,BEXCO,매장,광안리 호텔,숙소,매장→숙소,BEXCO,광안리,무관,매장방문,특대형,1,30,12,주중,0,True
2026-07-31T12:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,롯데면세점 부산점,BEXCO,매장,광안리 호텔,숙소,매장→숙소,BEXCO,광안리,무관,매장방문,특대형,1,30,12,주중,0,True
2026-07-31T12:00,RESOLVED,역사 보관함,,,205,2호선 벡스코,,BEXCO,매장,광안리 호텔,숙소,매장→숙소,BEXCO,광안리,무관,매장방문,특대형,1,30,12,주중,0,True
2026-07-31T22:00,REJECTED,역사 보관함,LKR_NO_LOCKER_AT_STATION,해당 역에 물품보관함 없음,101,1호선 신평,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,0,False
2026-07-31T22:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,KT&G 상상마당 부산,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,0,False
2026-07-31T22:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,롯데면세점 부산점,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,0,False
2026-07-31T22:00,REJECTED,짐캐리 무인보관함,ZIM_SIZE_UNAVAILABLE,무인보관함에 해당 규격 없음 (특대형 미취급),,,씨클라우드호텔,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,0,False
2026-07-31T22:00,REJECTED,짐캐리 배송,DLV_SEGMENT_NOT_OFFERED,구간 불가: 짐캐리 배송 상품이 없는 구간,,,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,0,False
2026-07-31T22:00,REJECTED,역사 보관함,LKR_NO_LOCKER_AT_STATION,해당 역에 물품보관함 없음,100,1호선 동매,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,1,False
2026-07-31T22:00,REJECTED,역사 보관함,LKR_NO_LOCKER_AT_STATION,해당 역에 물품보관함 없음,99,1호선 장림,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,1,False
2026-07-31T22:00,REJECTED,역사 보관함,LKR_NO_LOCKER_AT_STATION,해당 역에 물품보관함 없음,103,1호선 당리,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,1,False
2026-07-31T22:00,FALLBACK,역사 보관함,,,102,1호선 하단,,1호선 신평,역·관광지,해운대,역·관광지,역·관광지→역·관광지,,해운대·기장,무관,온라인,특대형,1,27,22,주중,1,False
2026-07-31T08:00,REJECTED,짐캐리 배송,DLV_STORE_CLOSED,시간 불가: 매장 영업시간 밖,,,,김해공항 국제선,매장,해운대 호텔,숙소,매장→숙소,김해공항 국제선,해운대·기장,배송,매장방문,대형,2,42,8,주중,0,True
2026-07-31T08:00,FALLBACK,예약배송,,,,,,김해공항 국제선,매장,해운대 호텔,숙소,매장→숙소,김해공항 국제선,해운대·기장,배송,매장방문,대형,2,42,8,주중,3,True
